228531#2014-11-06 14:21:52#225209#2014-11-06 14:21:52#1592473#0.4429#0106000020E610000001000000010300000001000000050000001F415CFF8F115A4050D1E4A4A8384A4004C67E3FCA125A4058A903CD25394A407F1908D924135A40EC562A03E2374A4049646180EB115A40F6D2F3F264374A401F415CFF8F115A4050D1E4A4A8384A40#0101000020E610000062CCEB9B5A125A4095E7706A45384A40#Сибирский#Иркутская обл.#Иркутский#нелесной#2014-11-07#f
228532#2014-11-06 14:21:52#199976#2014-11-06 14:21:52#1277977#1.2331#0106000020E61000000100000001030000000100000005000000CF14F8925F985A4069A78BB990054A40E3491CC36D995A4077B6AA99F3054A406FEB13E5B7995A40C03F632EC2044A4002A0E5D4A9985A40052B56265F044A40CF14F8925F985A4069A78BB990054A40#0101000020E6100000FD340DC00B995A405987A16A29054A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-07#f
228532#2014-11-06 14:21:52#199976#2014-11-06 18:26:20#1277977#1.2331#0106000020E61000000100000001030000000100000005000000CF14F8925F985A4069A78BB990054A40E3491CC36D995A4077B6AA99F3054A406FEB13E5B7995A40C03F632EC2044A4002A0E5D4A9985A40052B56265F044A40CF14F8925F985A4069A78BB990054A40#0101000020E6100000FD340DC00B995A405987A16A29054A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-07#f
228533#2014-11-06 14:21:52#199976#2014-11-06 14:21:52#5791270#4.34278570369096#0106000020E61000000200000001030000000100000005000000C595ED22109B5A400783A599F2034A400F1AB09A1D9C5A4057D19B6155044A40E0450488679C5A40CAD901F823034A402BF0FC3F5A9B5A403E0C0808C1024A40C595ED22109B5A400783A599F2034A400103000000010000000D00000057E826768C9D5A40CED920E125034A405C9FE6A2E99D5A409A2EBC7947034A406CCE0350339E5A4084D9041816024A40BEB5FA87409F5A40FF54053877024A40E369E0E48A9F5A40F42C105646014A404684B9BC7D9E5A4037161406E5004A40054DCFE4709D5A40109525BE83004A40609E0050269D5A4074C8F6EFB4014A40A4BE39F00E9D5A4002AFC4FC14024A40665DCC64B29C5A40A7412CF6F2014A40E0450488679C5A40CAD901F823034A405F3800B0749D5A40AFBD05C886034A4057E826768C9D5A40CED920E125034A40#0101000020E61000001F47BD576A9D5A4041575E7F53024A40#Сибирский#Респ. Бурятия#Кабанский#лесной#2014-11-07#f
228533#2014-11-06 14:21:52#199976#2014-11-06 18:26:20#5791270#4.34278570369096#0106000020E61000000200000001030000000100000005000000C595ED22109B5A400783A599F2034A400F1AB09A1D9C5A4057D19B6155044A40E0450488679C5A40CAD901F823034A402BF0FC3F5A9B5A403E0C0808C1024A40C595ED22109B5A400783A599F2034A400103000000010000000D00000057E826768C9D5A40CED920E125034A405C9FE6A2E99D5A409A2EBC7947034A406CCE0350339E5A4084D9041816024A40BEB5FA87409F5A40FF54053877024A40E369E0E48A9F5A40F42C105646014A404684B9BC7D9E5A4037161406E5004A40054DCFE4709D5A40109525BE83004A40609E0050269D5A4074C8F6EFB4014A40A4BE39F00E9D5A4002AFC4FC14024A40665DCC64B29C5A40A7412CF6F2014A40E0450488679C5A40CAD901F823034A405F3800B0749D5A40AFBD05C886034A4057E826768C9D5A40CED920E125034A40#0101000020E61000001F47BD576A9D5A4041575E7F53024A40#Сибирский#Респ. Бурятия#Кабанский#лесной#2014-11-07#f
228535#2014-11-06 14:21:52#199976#2014-11-06 14:21:52#1257277#1.1597#0106000020E610000001000000010300000001000000050000005D4AE16A72A35A40F742F969F9034A40A5FBD6DA7DA45A408BE8118259044A40D275FAA4C7A45A400E69F1B529034A40B2B3111DBCA35A40C385FA65C9024A405D4AE16A72A35A40F742F969F9034A40#0101000020E610000048EE8BFF1CA45A40402A947D91034A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-07#f
228535#2014-11-06 14:21:52#199976#2014-11-06 18:26:20#1257277#1.1597#0106000020E610000001000000010300000001000000050000005D4AE16A72A35A40F742F969F9034A40A5FBD6DA7DA45A408BE8118259044A40D275FAA4C7A45A400E69F1B529034A40B2B3111DBCA35A40C385FA65C9024A405D4AE16A72A35A40F742F969F9034A40#0101000020E610000048EE8BFF1CA45A40402A947D91034A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-07#f
228536#2014-11-06 14:21:52#228266#2014-11-06 14:21:52#1013353#\N#0106000020E610000001000000010300000001000000050000004FCE2FCE08945B40648939CE0EB749404A6F2CE6EF945B40A08635B653B749401B199AA127955B4092BEBD2934B6494080AA9F7140945B4050A5C939EFB549404FCE2FCE08945B40648939CE0EB74940#0101000020E6100000B25A543298945B4004F47877A1B64940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-07#f
228536#2014-11-06 14:21:52#228266#2014-11-07 03:50:45#1013353#\N#0106000020E610000001000000010300000001000000050000004FCE2FCE08945B40648939CE0EB749404A6F2CE6EF945B40A08635B653B749401B199AA127955B4092BEBD2934B6494080AA9F7140945B4050A5C939EFB549404FCE2FCE08945B40648939CE0EB74940#0101000020E6100000B25A543298945B4004F47877A1B64940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-07#f
228536#2014-11-06 14:21:52#228266#2014-11-07 05:42:26#1013353#\N#0106000020E610000001000000010300000001000000050000004FCE2FCE08945B40648939CE0EB749404A6F2CE6EF945B40A08635B653B749401B199AA127955B4092BEBD2934B6494080AA9F7140945B4050A5C939EFB549404FCE2FCE08945B40648939CE0EB74940#0101000020E6100000B25A543298945B4004F47877A1B64940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-07#f
228537#2014-11-06 14:21:52#228537#2014-11-06 14:21:52#1011569#0.5439#0106000020E61000000100000001030000000100000005000000FA671F8E22B35B40DFED0FCE062A4A40931804560EB45B408D7E138E492A4A404230FD0145B45B40C167F35129294A408EC8FB6159B35B40AE88F5A1E6284A40FA671F8E22B35B40DFED0FCE062A4A40#0101000020E610000047928BD1B3B35B409AFE3F1898294A40#Сибирский#Респ. Бурятия#Еравнинский#нелесной#2014-11-07#f
228538#2014-11-06 14:21:52#228538#2014-11-06 14:21:52#1042071#0.0905#0106000020E61000000100000001030000000100000005000000E88E1735CC045C40751E360D61DA494062F7FCB4BA055C40D8DF2B1DA0DA494036E80953ED055C40E4B8D7727CD94940C8B714E3FE045C40934BCA7A3DD94940E88E1735CC045C40751E360D61DA4940#0101000020E61000000745FEC85C055C401FF14CC8EED94940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-07#f
228539#2014-11-06 14:21:52#228539#2014-11-06 14:21:52#1079758#0.5366#0106000020E6100000010000000103000000010000000500000092A969B428395C405BE31A3C9FB8494016F37BB41B3A5C400C851964DCB84940E21E8D3B4C3A5C409231EB83B4B749401449CBB358395C40DB73F45377B7494092A969B428395C405BE31A3C9FB84940#0101000020E61000001607F559BA395C404C4B1DD129B84940#Сибирский#Забайкальский край#Улетовский#лесной#2014-11-07#f
