230084#2014-11-08 06:11:20#230084#2014-11-08 06:11:20#1228181#0.0126#0106000020E610000001000000010300000001000000050000000D55CE6A034A53407A72EA56919650402B2536E56B4A53408382180929975040C77B38F5FF4B534050221D79FB96504089D8BB9A974B53402023E2DE639650400D55CE6A034A53407A72EA5691965040#0101000020E6100000C70F02B2014B5340329B316EC6965040#Уральский#Ямало-Ненецкий а.о.#Пуровский#нелесной#2014-11-08#t
230085#2014-11-08 06:11:20#230085#2014-11-08 06:11:20#2174980#0.038#0106000020E6100000010000000103000000010000000700000033CD091490C15340CD020E1D92725040F02EFE53FDC153403F3BE0BA227350404CE0F7EB65C3534027E5E602F47250401D03F4F3CDC45340DD67F052C5725040AE7F198460C453403E2419C534725040B66D1094F8C253408385176D6372504033CD091490C15340CD020E1D92725040#0101000020E61000009D4CDAF62EC35340ED5AD0BFAB725040#Уральский#Ямало-Ненецкий а.о.#Пуровский#лесной#2014-11-08#t
230086#2014-11-08 06:11:20#212242#2014-11-08 06:11:20#1585192#\N#0106000020E61000000100000001030000000100000005000000CE17FF6762B35140794C30DE875F4E403699C837A1B35140A976D9F1D7604E4053A4EB5734B551408805E7218D604E4032E54350F5B451404C981F6E3D5F4E40CE17FF6762B35140794C30DE875F4E40#0101000020E61000002965A74A4BB451407A99809E0A604E40#Уральский#Ханты-Мансийский а.о.#Нефтеюганский#лесной#2014-11-08#t
230087#2014-11-08 06:11:20#227456#2014-11-08 06:11:20#3127159#0.0407#0106000020E6100000010000000103000000010000000900000045B1C3358A9B5340B8E5232969634D40A36CFC4FDF9B53406E220A9886644D408C4305A0F49C5340259B06A02C644D40482612124A9D53404542DF064A654D40A5BF138A5F9E53406109D6FEEF644D40EFF8FE1F0A9E53403B460590D2634D40E537D8DDB49D53407AD12E11B5624D4061AFC97D9F9C5340694228290F634D4045B1C3358A9B5340B8E5232969634D40#0101000020E61000007D60CBD2149D5340F3EC6108EE634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230087#2014-11-08 06:11:20#227456#2014-11-08 06:23:25#3127159#0.0407#0106000020E6100000010000000103000000010000000900000045B1C3358A9B5340B8E5232969634D40A36CFC4FDF9B53406E220A9886644D408C4305A0F49C5340259B06A02C644D40482612124A9D53404542DF064A654D40A5BF138A5F9E53406109D6FEEF644D40EFF8FE1F0A9E53403B460590D2634D40E537D8DDB49D53407AD12E11B5624D4061AFC97D9F9C5340694228290F634D4045B1C3358A9B5340B8E5232969634D40#0101000020E61000007D60CBD2149D5340F3EC6108EE634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230087#2014-11-08 06:11:20#227456#2014-11-08 08:01:21#3127159#0.0407#0106000020E6100000010000000103000000010000000900000045B1C3358A9B5340B8E5232969634D40A36CFC4FDF9B53406E220A9886644D408C4305A0F49C5340259B06A02C644D40482612124A9D53404542DF064A654D40A5BF138A5F9E53406109D6FEEF644D40EFF8FE1F0A9E53403B460590D2634D40E537D8DDB49D53407AD12E11B5624D4061AFC97D9F9C5340694228290F634D4045B1C3358A9B5340B8E5232969634D40#0101000020E61000007D60CBD2149D5340F3EC6108EE634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230088#2014-11-08 06:11:20#227456#2014-11-08 06:11:20#1041197#0.018#0106000020E61000000100000001030000000100000005000000C184D91DF59B534023092DB1D3604D400D0333324A9C534097BDD7D6F0614D40F9B925625F9D534012B7D0B696614D40A71FD4450A9D534098E62D8979604D40C184D91DF59B534023092DB1D3604D40#0101000020E6100000AD96EA3EAA9C534062CA2F3235614D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230088#2014-11-08 06:11:20#227456#2014-11-08 06:23:25#1041197#0.018#0106000020E61000000100000001030000000100000005000000C184D91DF59B534023092DB1D3604D400D0333324A9C534097BDD7D6F0614D40F9B925625F9D534012B7D0B696614D40A71FD4450A9D534098E62D8979604D40C184D91DF59B534023092DB1D3604D40#0101000020E6100000AD96EA3EAA9C534062CA2F3235614D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230088#2014-11-08 06:11:20#227456#2014-11-08 08:01:21#1041197#0.018#0106000020E61000000100000001030000000100000005000000C184D91DF59B534023092DB1D3604D400D0333324A9C534097BDD7D6F0614D40F9B925625F9D534012B7D0B696614D40A71FD4450A9D534098E62D8979604D40C184D91DF59B534023092DB1D3604D40#0101000020E6100000AD96EA3EAA9C534062CA2F3235614D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230089#2014-11-08 06:11:20#230089#2014-11-08 06:11:20#1576810#\N#0106000020E610000001000000010300000001000000050000008AAF972210F4504054775DA6C3634A405AB552A539F45040490CA77114654A40EE1760DD80F55040101AA829D5644A403FE5B93A57F550400F4240BE84634A408AAF972210F4504054775DA6C3634A40#0101000020E6100000F6D45B71C8F4504000D803854C644A40#Уральский#Курганская обл.#Макушинский#нелесной#2014-11-08#t
230090#2014-11-08 06:11:20#230090#2014-11-08 06:11:20#1013217#0.0038#0106000020E610000001000000010300000001000000050000003BD86A2858B4524021BF86F9D5894B40D93F911F98B452405FE46DBEF48A4B409499984F92B55240852A6F26AA8A4B4029596F5052B55240DC9A95698B894B403BD86A2858B4524021BF86F9D5894B40#0101000020E61000009A53D039F5B4524073B2FC12408A4B40#Сибирский#Омская обл.#Калачинский#нелесной#2014-11-08#t
230091#2014-11-08 06:23:25#227456#2014-11-08 06:23:25#5934116#0.0150261128875504#0106000020E610000001000000010300000001000000090000001DCA7D361B9D5340726418AA29644D40593C8AAD3F9D53404B0F96F33D644D40D17CE77A0F9E53402CAFA6FCB5624D40461F773AA59B5340FA449E245D614D40D77DDEBA349B534042E5909231624D4092079E52109B53407A4AB5EC1C624D40F4E2612D409A534058F94C93A5634D405FB76345A89C53405E90801302654D401DCA7D361B9D5340726418AA29644D40#0101000020E6100000EFC4FF93279C5340268088D22E634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230091#2014-11-08 06:23:25#227456#2014-11-08 08:01:21#5934116#0.0150261128875504#0106000020E610000001000000010300000001000000090000001DCA7D361B9D5340726418AA29644D40593C8AAD3F9D53404B0F96F33D644D40D17CE77A0F9E53402CAFA6FCB5624D40461F773AA59B5340FA449E245D614D40D77DDEBA349B534042E5909231624D4092079E52109B53407A4AB5EC1C624D40F4E2612D409A534058F94C93A5634D405FB76345A89C53405E90801302654D401DCA7D361B9D5340726418AA29644D40#0101000020E6100000EFC4FF93279C5340268088D22E634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230093#2014-11-08 06:23:25#229657#2014-11-08 06:23:25#2962667#0.1886#0106000020E6100000010000000103000000010000000500000066DB8A79EDA85A402F368C0699634940C24C5FF8D6AA5A4050A43D56D763494050296508F6AA5A408F5ADDC13A6249403933136F11A95A40DD518CC1FD61494066DB8A79EDA85A402F368C0699634940#0101000020E6100000B3404F04F3A95A4078F19493EA624940#Сибирский#Респ. Бурятия#Селенгинский#нелесной#2014-11-08#t
230093#2014-11-08 06:23:25#229657#2014-11-08 06:23:25#2962667#0.1886#0106000020E6100000010000000103000000010000000500000066DB8A79EDA85A402F368C0699634940C24C5FF8D6AA5A4050A43D56D763494050296508F6AA5A408F5ADDC13A6249403933136F11A95A40DD518CC1FD61494066DB8A79EDA85A402F368C0699634940#0101000020E6100000B3404F04F3A95A4078F19493EA624940#Сибирский#Респ. Бурятия#Кяхтинский#нелесной#2014-11-08#t
230094#2014-11-08 06:23:25#230094#2014-11-08 06:23:25#6084986#0.319120233001583#0106000020E6100000010000000103000000010000000900000081F590A774415B40B0C0FFBE08984940B772FE3FF1415B405543EA8F1398494023C85AA613425B40C244EEAF3F964940EC990C64893F5B40EA1B7F3F08964940012B4834813F5B405A36C13D6B964940773A4668FA3E5B40B182E7F76096494039FBB957DC3E5B409EA21B4834984940442C071F6F415B4054ACD8676798494081F590A774415B40B0C0FFBE08984940#0101000020E61000004D5D8E6477405B408909E12739974940#Сибирский#Забайкальский край#Петровск-Забайкальский#лесной#2014-11-08#t
230096#2014-11-08 06:23:25#230096#2014-11-08 06:23:25#5356557#1.25655039500817#0106000020E61000000100000001030000000100000009000000E8806608AE505B40454329CE8FBB49401AB5E746F0505B40DAD8FA8194BB49406273C410EF505B400D7041B6ACBB49407FB0217299535B403E901F9EE3BB4940302F1BF8AC535B402085C2D206BA4940435668EE7E535B40F69E553003BA49408881AE7D81535B404320F2F1E4B9494078119EB7CE505B40BB3ACFF1B4B94940E8806608AE505B40454329CE8FBB4940#0101000020E6100000DEA125D731525B40315D0EBFCABA4940#Сибирский#Респ. Бурятия#Кижингинский#лесной#2014-11-08#t
230098#2014-11-08 06:23:25#230098#2014-11-08 06:23:25#14989089#0.410490314003513#0106000020E6100000010000000103000000010000000A0000002D15157B2FD05B40B90094748AC449405595090131D05B4078E5E576D0C3494042D0B09CEDCC5B4003475DC6A8C34940AA88BA13E8CC5B40745BFA9769C44940E373E5BBADCC5B40A752584E67C44940512AC86C9CCC5B407E81ACE972C6494019C38303EDCF5B4084754E7995C64940CE0D554A32D35B40D27EF7D0B6C649406EB5DA053BD35B40570F144FA8C449402D15157B2FD05B40B90094748AC44940#0101000020E6100000579FBA65B8CF5B405DC4EB3556C54940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-08#t
230100#2014-11-08 06:23:25#230100#2014-11-08 06:23:25#7274940#0.0231#0106000020E61000000100000001030000000100000005000000D0F21BAA12FB5B40DA76B90C28E64940084F8D3CB5FE5B409F84677C3EE64940A0A97403C7FE5B40266CA2431EE449409078E4D51AFB5B4037124F1309E44940D0F21BAA12FB5B40DA76B90C28E64940#0101000020E610000052FDD1A8EAFC5B409F309E0223E54940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-08#t
230101#2014-11-08 06:23:25#228822#2014-11-08 06:23:25#8948379#0.0372#0106000020E61000000100000001030000000100000005000000A255355A314C5C407B40A8A4B19C49400FD67B0168505C4082F13E54BB9C4940ED49818177505C400229B16B7B9A4940AEF50326494C5C40770A3D8B739A4940A255355A314C5C407B40A8A4B19C4940#0101000020E6100000B861F1C2564E5C402CEAE95B979B4940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-08#t
230102#2014-11-08 06:23:25#228822#2014-11-08 06:23:25#8871657#1.9818#0106000020E61000000100000001030000000100000005000000A497E690734C5C402786E464629A494032CF083E9F505C403C1C5534739A49408267CE3CB1505C400927B38B33984940CBF9FFC48A4C5C40E1A94F8B24984940A497E690734C5C402786E464629A4940#0101000020E610000064D567F6934E5C401CFFC0A94B994940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-08#t
230103#2014-11-08 06:23:25#229652#2014-11-08 06:23:25#5351634#0.0156#0106000020E61000000100000001030000000100000005000000F373856F888D5B405743C110E27349403777CB406B905B40F8ED98780F744940118E38E87B905B402CCC08901D72494000BDBA749D8D5B4007BF8187F1714940F373856F888D5B405743C110E2734940#0101000020E6100000099AD363038F5B401EF4D16900734940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-08#t
230104#2014-11-08 06:23:25#229652#2014-11-08 06:23:25#12680242#0.671117127776006#0106000020E6100000010000000103000000010000000B000000020394C8B68A5B4093286A1FE16D4940FB486317B98A5B4029649DE0D16F49407D8F2685468B5B404F867E42DA6F4940415FBC17468B5B40AF3584F8FA6F4940BD9EB7CA368E5B403CCC6E982E7049400837BE9B13915B4052664130607049400A692A172C915B40FDDB65BF6E6E4940902698108F905B40D767A959646E494012BD6B5490905B404FACB60F376E4940983A23A5B48D5B40CA2287670D6E4940020394C8B68A5B4093286A1FE16D4940#0101000020E61000005585E1B7EE8D5B40FFC8E3FC1C6F4940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-08#t
230106#2014-11-08 06:23:25#199976#2014-11-08 06:23:25#3039527#0.1744#0106000020E610000001000000010300000001000000050000002AE295A096A45A4074B8356DEF054A40E819986892A65A4007B8FF4C2D064A4036F977C7B3A65A40E8770E238C044A4099948ADFB7A45A407E31DFEA4E044A402AE295A096A45A4074B8356DEF054A40#0101000020E6100000EDCE633DA5A55A40C26FDEF23D054A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-08#t
230107#2014-11-08 06:23:25#229656#2014-11-08 06:23:25#1734618#0.5563#0106000020E610000001000000010300000001000000050000001FF364ABC99D59406118130F66CA4A4009A07B832D9F5940F98FF93EA4CA4A40FE58D29B5B9F5940ECF1E78049C94A407C4C20FCF69D59400CB8DF880BC94A401FF364ABC99D59406118130F66CA4A40#0101000020E61000006EFF4D7B929E59401EAC0AC8D7C94A40#Сибирский#Иркутская обл.#Заларинский#нелесной#2014-11-08#t
230108#2014-11-08 07:52:49#230108#2014-11-08 07:52:49#2580822#23.6341#0106000020E610000001000000010300000001000000070000001631EC30A6D64440D89FA3D9650046408F52094FE8D64440E2F54F26A4014640F5F411F8C3D8444080304B966E01464008A836599FDA4440EF2333EE3801464043C9C3C665DA4440CD68D411FAFF45408C5DEC0786D844402907B309300046401631EC30A6D64440D89FA3D965004640#0101000020E6100000B01501C5A4D84440FA9FB70FCF004640#Северо-Кавказский#Респ. Карачаево-Черкесия#Хабезский#нелесной#2014-11-08#t
230108#2014-11-08 07:52:49#230108#2014-11-08 07:52:49#2580822#23.6341#0106000020E610000001000000010300000001000000070000001631EC30A6D64440D89FA3D9650046408F52094FE8D64440E2F54F26A4014640F5F411F8C3D8444080304B966E01464008A836599FDA4440EF2333EE3801464043C9C3C665DA4440CD68D411FAFF45408C5DEC0786D844402907B309300046401631EC30A6D64440D89FA3D965004640#0101000020E6100000B01501C5A4D84440FA9FB70FCF004640#Северо-Кавказский#Респ. Карачаево-Черкесия#Зеленчукский#нелесной#2014-11-08#t
230109#2014-11-08 08:01:21#228809#2014-11-08 08:01:21#2269420#1.473#0106000020E61000000100000001030000000100000005000000DD2B902CA2264D40EA198886C1314D40A3CF05FD1E2A4D40204FC39E93324D40D4AC7D4B4A2B4D403DFD56A137314D405CF24FDBCC274D404F956BE164304D40DD2B902CA2264D40EA198886C1314D40#0101000020E610000024390704F6284D4075D95B5C7C314D40#Приволжский#Пермский край#Чусовской#лесной#2014-11-08#t
230109#2014-11-08 08:01:21#228809#2014-11-08 08:01:21#2269420#1.473#0106000020E61000000100000001030000000100000005000000DD2B902CA2264D40EA198886C1314D40A3CF05FD1E2A4D40204FC39E93324D40D4AC7D4B4A2B4D403DFD56A137314D405CF24FDBCC274D404F956BE164304D40DD2B902CA2264D40EA198886C1314D40#0101000020E610000024390704F6284D4075D95B5C7C314D40#Приволжский#Пермский край#Горнозаводский#лесной#2014-11-08#t
230110#2014-11-08 08:01:21#230110#2014-11-08 08:01:21#1057454#0.0467#0106000020E61000000100000001030000000100000005000000C92675D99A4A5140F6F3E0CD9EE44A40FC8072A1934B51407AA2D225EFE44A4068D79496D74B5140D2B03112CEE34A40087292DEDE4A514025D724AA7DE34A40C92675D99A4A5140F6F3E0CD9EE44A40#0101000020E6100000B9D2563A394B5140BA40A66C36E44A40#Сибирский#Омская обл.#Полтавский#нелесной#2014-11-08#t
230111#2014-11-08 08:01:21#227456#2014-11-08 08:01:21#2396782#\N#0106000020E610000001000000010300000001000000050000009A9BEB0BD39A534091F1289570644D401B3C9F43D19C5340742B009DB4644D408065843B009D53407516E6D232634D4070355FE3029B53404A0FBF72EF624D409A9BEB0BD39A534091F1289570644D40#0101000020E610000037DEB5E8E99B534039D913EFD1634D40#Сибирский#Томская обл.#Каргасокский#лесной#2014-11-08#t
230112#2014-11-08 14:09:53#199976#2014-11-08 14:09:53#1889001#1.2063#0106000020E610000001000000010300000001000000050000008D2CB2001A985A40494A7A18DA044A4017F19D9875995A40A45677B06E054A40E3F79927D5995A40FFD08A7719044A40C59272F779985A405D0D9AA784034A408D2CB2001A985A40494A7A18DA044A40#0101000020E61000008030AFA4F7985A4059EC34BD79044A40#Сибирский#Респ. Бурятия#Кабанский#нелесной#2014-11-09#f
230113#2014-11-08 14:09:53#199976#2014-11-08 14:09:53#3754510#1.427#0106000020E61000000200000001030000000100000005000000606FE680F29B5A40CA4EC3E02F034A40299EEDB04D9D5A40F0B3DB78C1034A4062F80460AE9D5A40B02904306D024A40526300B0539C5A40D7A20568DB014A40606FE680F29B5A40CA4EC3E02F034A400103000000010000000500000062F80460AE9D5A40B02904306D024A4017EAFA4F089F5A40D732F87FFE024A40CD0D1B9F689F5A40E47B0C77AA014A40289023E70E9E5A40D6ED26D718014A4062F80460AE9D5A40B02904306D024A40#0101000020E6100000DA6FF691AD9D5A400CE7FE526D024A40#Сибирский#Респ. Бурятия#Кабанский#лесной#2014-11-09#f
230114#2014-11-08 14:09:53#230114#2014-11-08 14:09:53#1527922#1.5072#0106000020E610000001000000010300000001000000050000006BAADD65351C5B4082F1A17E76D2494076E78176641D5B400A0D06CFEBD2494067B19801BC1D5B40178901F9AFD14940103F415A8A1C5B40AD81525939D149406BAADD65351C5B4082F1A17E76D24940#0101000020E6100000F7307A18F81C5B40FFF2B0AA12D24940#Сибирский#Респ. Бурятия#Заиграевский#лесной#2014-11-09#f
230115#2014-11-08 14:09:53#230115#2014-11-08 14:09:53#1273995#0.2984#0106000020E6100000010000000103000000010000000500000032B8FF2B5F5F5B40E3E313B2730D4A40F2FD3F146D605B40096E4142D60D4A40A9639D43BC605B405D91B13DA70C4A40B0E595EBAD5F5B40CBA7BF45440C4A4032B8FF2B5F5F5B40E3E313B2730D4A40#0101000020E6100000C7AEAF9A0D605B40E6A987500D0D4A40#Сибирский#Респ. Бурятия#Хоринский#лесной#2014-11-09#f
230116#2014-11-08 14:09:53#229652#2014-11-08 14:09:53#1262262#0.0104#0106000020E610000001000000010300000001000000050000005759A169058E5B40D721AB19A1724940004366990B8F5B4018209759007349404D7AA54D518F5B407E2AFA85CF7149407DA1D3354B8E5B409126201E707149405759A169058E5B40D721AB19A1724940#0101000020E610000025F51A5EAB8E5B40B906FF4538724940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230116#2014-11-08 14:09:53#229652#2014-11-09 03:38:34#1262262#0.0104#0106000020E610000001000000010300000001000000050000005759A169058E5B40D721AB19A1724940004366990B8F5B4018209759007349404D7AA54D518F5B407E2AFA85CF7149407DA1D3354B8E5B409126201E707149405759A169058E5B40D721AB19A1724940#0101000020E610000025F51A5EAB8E5B40B906FF4538724940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230116#2014-11-08 14:09:53#229652#2014-11-09 05:27:39#1262262#0.0104#0106000020E610000001000000010300000001000000050000005759A169058E5B40D721AB19A1724940004366990B8F5B4018209759007349404D7AA54D518F5B407E2AFA85CF7149407DA1D3354B8E5B409126201E707149405759A169058E5B40D721AB19A1724940#0101000020E610000025F51A5EAB8E5B40B906FF4538724940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230117#2014-11-08 14:09:53#229652#2014-11-08 14:09:53#2502249#2.6387#0106000020E610000001000000010300000001000000070000002B1DE6AA3D8B5B406B48FD7152704940C16F649A408C5B4082CAD7E9B0704940533C2EAA458D5B40BCACCB2110714940CA21DA758C8D5B40BD68345EDF6F4940A8C59E45888C5B408FBE3036806F4940796A1E55878B5B408FA1084E226F49402B1DE6AA3D8B5B406B48FD7152704940#0101000020E61000006CF1D1B1658C5B406441882C19704940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230117#2014-11-08 14:09:53#229652#2014-11-09 03:38:34#2502249#2.6387#0106000020E610000001000000010300000001000000070000002B1DE6AA3D8B5B406B48FD7152704940C16F649A408C5B4082CAD7E9B0704940533C2EAA458D5B40BCACCB2110714940CA21DA758C8D5B40BD68345EDF6F4940A8C59E45888C5B408FBE3036806F4940796A1E55878B5B408FA1084E226F49402B1DE6AA3D8B5B406B48FD7152704940#0101000020E61000006CF1D1B1658C5B406441882C19704940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230117#2014-11-08 14:09:53#229652#2014-11-09 05:27:39#2502249#2.6387#0106000020E610000001000000010300000001000000070000002B1DE6AA3D8B5B406B48FD7152704940C16F649A408C5B4082CAD7E9B0704940533C2EAA458D5B40BCACCB2110714940CA21DA758C8D5B40BD68345EDF6F4940A8C59E45888C5B408FBE3036806F4940796A1E55878B5B408FA1084E226F49402B1DE6AA3D8B5B406B48FD7152704940#0101000020E61000006CF1D1B1658C5B406441882C19704940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230118#2014-11-08 14:09:53#229652#2014-11-08 14:09:53#2525917#0.2053#0106000020E61000000100000001030000000100000007000000C24981A2458D5B40E788DFC10D6E4940C44950B24B8E5B40AB1BD6F16B6E4940A39F5F4A538F5B40B0A5EC99CA6E49403A5820F6998F5B40C9D135F6996D4940B7CC4CDD938E5B401D53FB9D3B6D494043BEB6448F8D5B40B2CBE0BDDD6C4940C24981A2458D5B40E788DFC10D6E4940#0101000020E61000006AC87D71708E5B406EC79626D46D4940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230118#2014-11-08 14:09:53#229652#2014-11-09 03:38:34#2525917#0.2053#0106000020E61000000100000001030000000100000007000000C24981A2458D5B40E788DFC10D6E4940C44950B24B8E5B40AB1BD6F16B6E4940A39F5F4A538F5B40B0A5EC99CA6E49403A5820F6998F5B40C9D135F6996D4940B7CC4CDD938E5B401D53FB9D3B6D494043BEB6448F8D5B40B2CBE0BDDD6C4940C24981A2458D5B40E788DFC10D6E4940#0101000020E61000006AC87D71708E5B406EC79626D46D4940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230118#2014-11-08 14:09:53#229652#2014-11-09 05:27:39#2525917#0.2053#0106000020E61000000100000001030000000100000007000000C24981A2458D5B40E788DFC10D6E4940C44950B24B8E5B40AB1BD6F16B6E4940A39F5F4A538F5B40B0A5EC99CA6E49403A5820F6998F5B40C9D135F6996D4940B7CC4CDD938E5B401D53FB9D3B6D494043BEB6448F8D5B40B2CBE0BDDD6C4940C24981A2458D5B40E788DFC10D6E4940#0101000020E61000006AC87D71708E5B406EC79626D46D4940#Сибирский#Забайкальский край#Хилокский#нелесной#2014-11-09#f
230119#2014-11-08 14:09:53#230119#2014-11-08 14:09:53#1679258#0.0392#0106000020E61000000100000001030000000100000005000000C339769265F15A401662FDB8606949408B5B3FDC99F25A40FF1DD5D9DE694940C1BB8543E9F25A40BD94151E8F6849407868B345ADF15A401117047F0D684940C339769265F15A401662FDB860694940#0101000020E6100000F67805A025F25A4051F83556F6684940#Сибирский#Респ. Бурятия#Бичурский#нелесной#2014-11-09#f
230120#2014-11-08 14:09:53#230120#2014-11-08 14:09:53#3179269#1.2792#0106000020E61000000100000001030000000100000009000000C679ACD7FCFA5B402F858B0553F24940FE959D97EDFB5B404F458545A0F24940264CFF2F2AFC5B4001B1F88F7DF1494031BBFE8F19FD5B40981E0368CAF14940305173A855FD5B40B0D870A2A7F04940DA290C8067FC5B40FBD35F125BF049408CFE863F79FB5B40106C43620EF049408F4E02403AFB5B401D70027830F14940C679ACD7FCFA5B402F858B0553F24940#0101000020E6100000FE1A6C110CFC5B40F26775B840F14940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-09#f
230120#2014-11-08 14:09:53#230120#2014-11-09 05:27:39#3179269#1.2792#0106000020E61000000100000001030000000100000009000000C679ACD7FCFA5B402F858B0553F24940FE959D97EDFB5B404F458545A0F24940264CFF2F2AFC5B4001B1F88F7DF1494031BBFE8F19FD5B40981E0368CAF14940305173A855FD5B40B0D870A2A7F04940DA290C8067FC5B40FBD35F125BF049408CFE863F79FB5B40106C43620EF049408F4E02403AFB5B401D70027830F14940C679ACD7FCFA5B402F858B0553F24940#0101000020E6100000FE1A6C110CFC5B40F26775B840F14940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-09#f
230121#2014-11-08 14:09:53#230121#2014-11-08 14:09:53#2098088#0.0362#0106000020E610000001000000010300000001000000070000001E396FEFDC015C4085CDA55D71FA4940905FAA5FCA025C40E786AE5DBDFA4940132BC49FB8035C40B406CE9D09FB4940581A1960F6035C40C55D3952E8F94940A94E28C007035C403FA03BDA9BF949409AAC598019025C40E929517A4FF949401E396FEFDC015C4085CDA55D71FA4940#0101000020E6100000C5D10A58E9025C402FBCE8A02CFA4940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-09#f
230121#2014-11-08 14:09:53#230121#2014-11-09 03:38:34#2098088#0.0362#0106000020E610000001000000010300000001000000070000001E396FEFDC015C4085CDA55D71FA4940905FAA5FCA025C40E786AE5DBDFA4940132BC49FB8035C40B406CE9D09FB4940581A1960F6035C40C55D3952E8F94940A94E28C007035C403FA03BDA9BF949409AAC598019025C40E929517A4FF949401E396FEFDC015C4085CDA55D71FA4940#0101000020E6100000C5D10A58E9025C402FBCE8A02CFA4940#Сибирский#Забайкальский край#Хилокский#лесной#2014-11-09#f
230122#2014-11-08 14:09:53#230122#2014-11-08 14:09:53#2028359#0.1152#0106000020E610000001000000010300000001000000070000008B664C5EF0565C40990C2A1E55A94940CE6D46F6D6575C40F2F122769AA94940439C3D86BD585C4046BB23C6DFA949404151B031F5585C4080B5CD01C0A84940D23EB1A90E585C402CECCCB17AA849403621AD3128575C40D922CC6135A849408B664C5EF0565C40990C2A1E55A94940#0101000020E6100000C5A8D5D0F2575C40DAEC15950AA94940#Сибирский#Забайкальский край#Читинский#нелесной#2014-11-09#f
230122#2014-11-08 14:09:53#230122#2014-11-08 18:14:17#2028359#0.1152#0106000020E610000001000000010300000001000000070000008B664C5EF0565C40990C2A1E55A94940CE6D46F6D6575C40F2F122769AA94940439C3D86BD585C4046BB23C6DFA949404151B031F5585C4080B5CD01C0A84940D23EB1A90E585C402CECCCB17AA849403621AD3128575C40D922CC6135A849408B664C5EF0565C40990C2A1E55A94940#0101000020E6100000C5A8D5D0F2575C40DAEC15950AA94940#Сибирский#Забайкальский край#Читинский#нелесной#2014-11-09#f
230123#2014-11-08 14:09:53#228822#2014-11-08 14:09:53#1021025#0.2714#0106000020E61000000100000001030000000100000005000000AF895806CD4D5C40E2EC10DEA29A49406BCB6716B44E5C40A1CD1E26E99A4940C9A7AE19EC4E5C40228AEA29C99949403971A4F9044E5C40C3DBDEC982994940AF895806CD4D5C40E2EC10DEA29A4940#0101000020E61000001E77348B5C4E5C40B5F799FB359A4940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-09#f
230123#2014-11-08 14:09:53#228822#2014-11-08 18:14:17#1021025#0.2714#0106000020E61000000100000001030000000100000005000000AF895806CD4D5C40E2EC10DEA29A49406BCB6716B44E5C40A1CD1E26E99A4940C9A7AE19EC4E5C40228AEA29C99949403971A4F9044E5C40C3DBDEC982994940AF895806CD4D5C40E2EC10DEA29A4940#0101000020E61000001E77348B5C4E5C40B5F799FB359A4940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-09#f
230123#2014-11-08 14:09:53#228822#2014-11-09 03:38:34#1021025#0.2714#0106000020E61000000100000001030000000100000005000000AF895806CD4D5C40E2EC10DEA29A49406BCB6716B44E5C40A1CD1E26E99A4940C9A7AE19EC4E5C40228AEA29C99949403971A4F9044E5C40C3DBDEC982994940AF895806CD4D5C40E2EC10DEA29A4940#0101000020E61000001E77348B5C4E5C40B5F799FB359A4940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-09#f
230123#2014-11-08 14:09:53#228822#2014-11-09 05:27:39#1021025#0.2714#0106000020E61000000100000001030000000100000005000000AF895806CD4D5C40E2EC10DEA29A49406BCB6716B44E5C40A1CD1E26E99A4940C9A7AE19EC4E5C40228AEA29C99949403971A4F9044E5C40C3DBDEC982994940AF895806CD4D5C40E2EC10DEA29A4940#0101000020E61000001E77348B5C4E5C40B5F799FB359A4940#Сибирский#Забайкальский край#Читинский#лесной#2014-11-09#f
